roll,pitch,yaw,joint_angles,total_torque
33.0,73.0,33.0,"[0.07754380834789815, 23.610305433766854, -29.572153624841913, 8.269782874106037, -8.323353005279325, 0.963275836131651]",38.596678742165125
32.0,74.0,33.0,"[0.004272121702962202, 23.593784686800475, -29.622308836063038, 0.5029628730863773, -7.48792819802987, 8.132159853412894]",38.58816561696321
32.0,74.0,33.0,"[0.004272121702962202, 23.593784686800475, -29.622308836063038, 0.5029628730863773, -7.48792819802987, 8.132159853412894]",38.58816561696321
33.0,74.0,33.0,"[0.06779230873047615, 23.59223683126415, -29.63578168449578, 8.122945626630404, -7.401873200205758, 0.5657535182377563]",38.59215125544481
32.0,75.0,33.0,"[-0.00633495004571707, 23.577662051624372, -29.68997255046283, -0.8524909783971479, -6.567382474251218, 8.951501600806916]",38.58544773840731
32.0,75.0,33.0,"[-0.00633495004571707, 23.577662051624372, -29.68997255046283, -0.8524909783971479, -6.567382474251218, 8.951501600806916]",38.58544773840731
33.0,75.0,33.0,"[0.05822982755627585, 23.576258934729346, -29.702577601110253, 7.964955190674041, -6.478974261992649, 0.17990874872213217]",38.58777929580633
32.0,76.0,33.0,"[-0.013838385174155771, 23.563629461743638, -29.760899578869086, -2.1657259946767833, -5.6454693356886025, 9.728772644402452]",38.58342391547723
32.0,76.0,33.0,"[-0.013838385174155771, 23.563629461743638, -29.760899578869086, -2.1657259946767833, -5.6454693356886025, 9.728772644402452]",38.58342391547723
33.0,76.0,33.0,"[0.053140095409762694, 23.562436621823675, -29.77334729470941, 8.471832185161938, -5.5580187284125175, -0.8708212881266777]",38.58320603138475
31.0,76.0,33.0,"[-0.08133885078301131, 23.567686958512454, -29.751843647654248, -12.228552652935612, -5.922375484820399, 19.753597132589636]",38.581486474074296
32.0,77.0,33.0,"[-0.02017562249398928, 23.551722675492698, -29.834967704727394, -3.774730834045397, -4.724342658157079, 10.802110557653283]",38.580772049784905
32.0,76.0,34.0,"[-0.08022316588131516, 23.565604026933624, -29.76280202586232, -12.360928704904993, -5.779765875109871, 20.09140916787439]",38.580542992368116
32.0,76.0,34.0,"[-0.08022316588131516, 23.565604026933624, -29.76280202586232, -12.360928704904993, -5.779765875109871, 20.09140916787439]",38.580542992368116
33.0,76.0,34.0,"[-0.012905671354402445, 23.56158964491573, -29.772375888258875, -2.073665954779382, -5.4986604138282065, 9.840960209089348]",38.5828513345932
31.0,76.0,34.0,"[-0.15118707284936309, 23.57271063045494, -29.75893141136521, -21.924233568348473, -6.241708461612505, 29.618254536349298]",38.56196062335303
32.0,76.0,35.0,"[-0.15027372023197508, 23.57060071566215, -29.769869727230695, -22.297284115644505, -6.104812790035759, 30.19568450484223]",38.55979692186537
32.0,76.0,35.0,"[-0.15027372023197508, 23.57060071566215, -29.769869727230695, -22.297284115644505, -6.104812790035759, 30.19568450484223]",38.55979692186537
33.0,76.0,35.0,"[-0.07913623068756252, 23.56351906428609, -29.774137962423044, -12.513453141390876, -5.633410031405859, 20.44705463458386]",38.579544101582925
31.0,76.0,35.0,"[-0.21836714369642168, 23.580488638893705, -29.76854091918133, -30.1317993152186, -6.7070584989546305, 37.99460350219718]",38.533780665522
32.0,76.0,36.0,"[-0.21737604576360303, 23.578339691885187, -29.77929474758568, -30.629877839715633, -6.577589277028041, 38.695970664144085]",38.530362016902124
32.0,76.0,36.0,"[-0.21737604576360303, 23.578339691885187, -29.77929474758568, -30.629877839715633, -6.577589277028041, 38.695970664144085]",38.530362016902124
33.0,76.0,36.0,"[-0.14940736382108766, 23.56849258918501, -29.78118668937478, -22.708193032218666, -5.964893541596209, 30.808630368636766]",38.557445205145015
31.0,76.0,36.0,"[-0.28542339013615625, 23.591091761549222, -29.781514054735233, -37.12289757730695, -7.293963885854025, 45.15463053094747]",38.502741713935514
32.0,77.0,36.0,"[-0.22433982578503853, 23.567393764314428, -29.853274595929214, -36.06869887623216, -5.870270240643935, 43.57816419056816]",38.49555190702981
32.0,77.0,36.0,"[-0.22433982578503853, 23.567393764314428, -29.853274595929214, -36.06869887623216, -5.870270240643935, 43.57816419056816]",38.49555190702981
33.0,77.0,36.0,"[-0.15617813350903376, 23.557679124172388, -29.85477226164557, -27.639381024340764, -5.185650346715934, 35.17577967992468]",38.532571204330495
31.0,77.0,36.0,"[-0.2949426270932127, 23.580155639608744, -29.859300412549302, -43.05391690220848, -6.661280100472112, 50.5367530561226]",38.45902269209122
32.0,78.0,36.0,"[-0.23395200366392913, 23.55866525960998, -29.934166650312527, -43.50020417042779, -5.235816738546079, 50.45375958812415]",38.44162253496743
32.0,78.0,36.0,"[-0.23395200366392913, 23.55866525960998, -29.934166650312527, -43.50020417042779, -5.235816738546079, 50.45375958812415]",38.44162253496743
33.0,78.0,36.0,"[-0.16502428925650314, 23.549010460576817, -29.933581217443805, -34.717154417082945, -4.462096185382798, 41.690137833077024]",38.49071846267723
31.0,78.0,36.0,"[-0.30259867884761327, 23.571245697284755, -29.938695591052138, -49.89125007653742, -6.097916935070069, 56.825349977433795]",38.4024938467579
32.0,79.0,36.0,"[-0.2409797997730099, 23.551939797160685, -30.015949853340864, -52.320520823465614, -4.689369023037422, 58.718171205822806]",38.36757129519395
32.0,79.0,36.0,"[-0.2409797997730099, 23.551939797160685, -30.015949853340864, -52.320520823465614, -4.689369023037422, 58.718171205822806]",38.36757129519395
33.0,79.0,36.0,"[-0.17202130670821872, 23.542361963873812, -30.014480607257823, -43.955212977546495, -3.815444550273642, 50.36487282494537]",38.42441215713522
31.0,79.0,36.0,"[-0.30957267800068977, 23.564438729029906, -30.020983413644085, -57.920193472236186, -5.629188572403727, 64.30580487326424]",38.32898303177469
32.0,80.0,36.0,"[-0.24694216327250235, 23.547269479148202, -30.099488282994646, -62.92410460525379, -4.26898582820975, 68.76596686732617]",38.26679401904489
32.0,80.0,36.0,"[-0.24694216327250235, 23.547269479148202, -30.099488282994646, -62.92410460525379, -4.26898582820975, 68.76596686732617]",38.26679401904489
33.0,80.0,36.0,"[-0.17836683134774084, 23.537780218736224, -30.09837618848154, -56.40166358563243, -3.296093064403592, 62.24816901289928]",38.317162970950406
31.0,80.0,36.0,"[-0.316105986341018, 23.559757482875156, -30.10669896284734, -67.20518556615183, -5.281783233779001, 73.04252553208387]",38.23606701886737
32.0,81.0,36.0,"[-0.25255760053548443, 23.544691821899583, -30.18554720364358, -75.22893370154391, -4.01708730594662, 80.51515819206446]",38.13797692011524
32.0,81.0,36.0,"[-0.25255760053548443, 23.544691821899583, -30.18554720364358, -75.22893370154391, -4.01708730594662, 80.51515819206446]",38.13797692011524
33.0,81.0,36.0,"[-0.18379589325943055, 23.535257793709206, -30.183911858166177, -72.11395871837703, -2.97101720197444, 77.39737829815712]",38.15922290560668
31.0,81.0,36.0,"[-0.3221133827640484, 23.557215176196266, -30.196048131415147, -77.5357644451053, -5.081607708374973, 82.82497857921824]",38.12537454253626
32.0,82.0,36.0,"[-0.2583609865490947, 23.544344609642156, -30.280425291541107, 90.76721038918635, 3.9777229838598265, -86.03643071211339]",37.98285597219109
32.0,82.0,36.0,"[-0.2583609865490947, 23.544344609642156, -30.280425291541107, 90.76721038918635, 3.9777229838598265, -86.03643071211339]",37.98285597219109
33.0,82.0,36.0,"[-0.18923915835496422, 23.534853651792044, -30.275918378185068, 89.34561264361906, 2.9123419417897596, -84.62514643663552]",37.97735641675954
32.0,82.0,35.0,"[-0.18949843414842207, 23.534886006078487, -30.267951582170575, 90.95475054441403, 2.9165819400004667, -86.34992123569458]",37.97340377472442
32.0,82.0,35.0,"[-0.18949843414842207, 23.534886006078487, -30.267951582170575, 90.95475054441403, 2.9165819400004667, -86.34992123569458]",37.97340377472442
33.0,82.0,35.0,"[-0.12028847539978092, 23.52831475711132, -30.267324184288658, 88.86936438477328, 1.8506709233598373, -84.27410532014636]",37.96867313880785
32.0,82.0,34.0,"[-0.12038753275799888, 23.52830123342073, -30.262625827465655, 90.44632561964343, 1.8465514921708048, -85.96733511502457]",37.95640740043653
32.0,82.0,34.0,"[-0.12038753275799888, 23.52830123342073, -30.262625827465655, 90.44632561964343, 1.8465514921708048, -85.96733511502457]",37.95640740043653
33.0,82.0,34.0,"[-0.05112202643223793, 23.524686025349364, -30.26403384623608, 86.20512970536362, 0.7853657072868379, -81.73501901803158]",37.98439336416333
