roll,pitch,yaw,joint_angles,total_torque
31.0,48.0,30.0,"[0.5007074502902513, 24.785069851686135, -29.083421115042096, 14.728970625242972, -31.924006300130433, 6.845687139728146]",38.77362760220138
29.0,48.0,30.0,"[0.3723068466878551, 24.80929553794754, -29.043611399110095, 10.797978523410764, -32.249809288412585, 10.257516829753698]",38.76357368036331
30.0,49.0,30.0,"[0.41739642505873453, 24.725875871939213, -29.038260549033396, 12.50643144099125, -31.168083404921788, 8.276976887094364]",38.76022323960732
30.0,49.0,30.0,"[0.41739642505873453, 24.725875871939213, -29.038260549033396, 12.50643144099125, -31.168083404921788, 8.276976887094364]",38.76022323960732
31.0,49.0,30.0,"[0.4814884108721757, 24.715474426436202, -29.060432575844395, 14.527985357950246, -31.022683625728902, 6.506976342409934]",38.76491078399598
29.0,49.0,30.0,"[0.35273453385001263, 24.738369481709675, -29.020220554456255, 10.49249365711802, -31.339291368731946, 10.038812270460507]",38.7548017517991
30.0,50.0,30.0,"[0.39832170446683945, 24.657349016205714, -29.018550626904737, 12.254077770347825, -30.259009652676276, 7.999365738902253]",38.751639241239296
30.0,50.0,30.0,"[0.39832170446683945, 24.657349016205714, -29.018550626904737, 12.254077770347825, -30.259009652676276, 7.999365738902253]",38.751639241239296
31.0,50.0,30.0,"[0.4626300050832481, 24.647645986180525, -29.04092702050742, 14.332514973162853, -30.11923385237676, 6.164747032761998]",38.756336127468536
29.0,50.0,30.0,"[0.3335343787675972, 24.669235545136072, -29.000373617297125, 10.185881820757542, -30.426535110763513, 9.823232359279919]",38.746181033386215
30.0,51.0,30.0,"[0.3796187611453196, 24.590629124048714, -29.002363119968376, 12.003832693830255, -29.347787405376074, 7.7215842251380735]",38.743206282058686
30.0,51.0,30.0,"[0.3796187611453196, 24.590629124048714, -29.002363119968376, 12.003832693830255, -29.347787405376074, 7.7215842251380735]",38.743206282058686
31.0,51.0,30.0,"[0.4441395011839073, 24.58160701103725, -29.024908702262213, 14.142941365012797, -29.21369569685174, 5.818555983459667]",38.7479051821723
29.0,51.0,30.0,"[0.3147134359485734, 24.601917070960138, -28.98407547458044, 9.877873972106434, -29.51157516275924, 9.610985329835021]",38.73771381567075
30.0,52.0,30.0,"[0.36129471234232025, 24.52573858407219, -28.989701544167186, 11.755753312188945, -28.434450878054683, 7.443514239167272]",38.73492646558417
30.0,52.0,30.0,"[0.36129471234232025, 24.52573858407219, -28.989701544167186, 11.755753312188945, -28.434450878054683, 7.443514239167272]",38.73492646558417
31.0,52.0,30.0,"[0.42602406353686845, 24.517379647516467, -29.01238116383149, 13.959701349460136, -28.306108769838698, 5.467905241019148]",38.73961934510914
29.0,52.0,30.0,"[0.29627859068091417, 24.536437140090104, -28.971330305436016, 9.568167911246677, -28.594447477674503, 9.40231279629196]",38.729402339881304
30.0,53.0,30.0,"[0.3433565527959908, 24.462699438197774, -28.98056869737061, 11.509908868136867, -27.519034565462373, 7.165025719218975]",38.726801832166416
30.0,53.0,30.0,"[0.3433565527959908, 24.462699438197774, -28.98056869737061, 11.509908868136867, -27.519034565462373, 7.165025719218975]",38.726801832166416
31.0,53.0,30.0,"[0.408290748296268, 24.454985697271443, -29.003347235716678, 13.783295988386415, -27.396513677309855, 5.112232784634503]",38.73147984007574
29.0,53.0,30.0,"[0.27823654801923065, 24.472818548488267, -28.96214156205041, 9.256422420939733, -27.675189326846326, 9.197495593109293]",38.72124879473056
30.0,54.0,30.0,"[0.32581114986666065, 24.40153337036415, -28.9749666580117, 11.266382849718209, -26.60157323935251, 6.8859745278321505]",38.71883435625449
30.0,54.0,30.0,"[0.32581114986666065, 24.40153337036415, -28.9749666580117, 11.266382849718209, -26.60157323935251, 6.8859745278321505]",38.71883435625449
31.0,54.0,30.0,"[0.3909464991273199, 24.39444660591216, -28.997809034782836, 13.614301887956573, -26.484952144044343, 4.750901210834555]",38.72348769224862
29.0,54.0,30.0,"[0.26059382087299277, 24.411083782983702, -28.956511951371148, 8.94225014524562, -26.75383930403186, 8.996860876719689]",38.71325531264111
30.0,55.0,30.0,"[0.3086652386688548, 24.342261695329682, -28.972896783997715, 11.02527555773371, -25.682101946418246, 6.606199867339434]",38.71102594319005
30.0,55.0,30.0,"[0.3086652386688548, 24.342261695329682, -28.972896783997715, 11.02527555773371, -25.682101946418246, 6.606199867339434]",38.71102594319005
31.0,55.0,30.0,"[0.37399814298952233, 24.335783451907265, -28.995767963177165, 13.453384976716896, -25.571467165238786, 4.383183938474093]",38.71564369664871
29.0,55.0,30.0,"[0.2433567170568686, 24.35125499641343, -28.95444341822551, 8.625208877170982, -25.83043732253534, 8.800790818430414]",38.70542396526986
30.0,56.0,30.0,"[0.29192541721376414, 24.28490534760175, -28.974359711902792, 10.786707261156502, -24.760656007294997, 6.325521107438786]",38.70337842539486
30.0,56.0,30.0,"[0.29192541721376414, 24.28490534760175, -28.974359711902792, 10.786707261156502, -24.760656007294997, 6.325521107438786]",38.70337842539486
31.0,56.0,30.0,"[0.3574523860200031, 24.27901693560018, -28.997224707619313, 13.30131742206294, -24.656103193933692, 4.008248275406578]",38.707948378670565
29.0,56.0,30.0,"[0.22653132512377386, 24.29335398253002, -28.955937130419663, 8.304790824319634, -24.90502460955678, 8.609733319646176]",38.697756758143726
30.0,57.0,30.0,"[0.27559814157140694, 24.229484870514604, -28.97935535644599, 10.55082210369159, -23.837271017132124, 6.043733861683875]",38.69589355777115
